Brand,Model,Year,Price,Mileage,Exterior Color,Interior Color,Fuel Type,Drivetrain,VIN,Dealer Name,Dealer Zip,Bodystyle,Image Paths
Toyota,Highlander,2012,14800,117713,Gold,,Gasoline,All-wheel Drive,5TDDK3EH5CS115772,Smart Buy Auto Sales of Meriden,06450,SUV,"['vehicle_images_more\\26c90d75-719a-4e67-aee5-9aaa2e4a5272_1.jpg', 'vehicle_images_more\\26c90d75-719a-4e67-aee5-9aaa2e4a5272_2.jpg', 'vehicle_images_more\\26c90d75-719a-4e67-aee5-9aaa2e4a5272_3.jpg']"
Toyota,RAV4,2017,20900,53879,Black Currant Metallic,Black,Gasoline,All-wheel Drive,2T3JFREVXHW671517,Subaru of Troy,12180,SUV,"['vehicle_images_more\\a42fcea8-77fe-4dea-8709-294c04047005_1.jpg', 'vehicle_images_more\\a42fcea8-77fe-4dea-8709-294c04047005_2.jpg', 'vehicle_images_more\\a42fcea8-77fe-4dea-8709-294c04047005_3.jpg']"
Toyota,Corolla,2013,14998,65618,Red,GRAY,Gasoline,Rear-wheel Drive,2T1BU4EE2DC075027,CarMax Albany,12205,Sedan,"['vehicle_images_more\\035616b5-6552-4ead-a0c8-b1c9a55bb9b7_1.jpg', 'vehicle_images_more\\035616b5-6552-4ead-a0c8-b1c9a55bb9b7_2.jpg', 'vehicle_images_more\\035616b5-6552-4ead-a0c8-b1c9a55bb9b7_3.jpg']"
Toyota,Highlander,2017,25900,81463,Black,Black,Gasoline,All-wheel Drive,5TDJZRFH4HS414094,"Marchese Ford, Inc.",12125,SUV,"['vehicle_images_more\\f9c51fae-b839-40e4-a06f-9292464b46c2_1.jpg', 'vehicle_images_more\\f9c51fae-b839-40e4-a06f-9292464b46c2_2.jpg', 'vehicle_images_more\\f9c51fae-b839-40e4-a06f-9292464b46c2_3.jpg']"
Toyota,Tacoma,2017,24700,101064,Cement,Gray,Gasoline,Four-wheel Drive,5TFSZ5AN2HX101405,Greenwich Ford,12834,Truck,"['vehicle_images_more\\e1b877cf-dfc1-48ce-a0de-feb9ec11266a_1.jpg', 'vehicle_images_more\\e1b877cf-dfc1-48ce-a0de-feb9ec11266a_2.jpg', 'vehicle_images_more\\e1b877cf-dfc1-48ce-a0de-feb9ec11266a_3.jpg']"
Toyota,Camry,2016,15278,55670,Celestial Silver Metallic,,Gasoline,Front-wheel Drive,4T1BF1FK2GU154312,Ruge's Automotive Inc.,12572,Sedan,"['vehicle_images_more\\47b79c6e-d5b9-4702-a1bb-221b27319e42_1.jpg', 'vehicle_images_more\\47b79c6e-d5b9-4702-a1bb-221b27319e42_2.jpg', 'vehicle_images_more\\47b79c6e-d5b9-4702-a1bb-221b27319e42_3.jpg']"
Toyota,Prius,2019,20000,95063,Electric Storm Blue,Black,Hybrid,All-wheel Drive,JTDL9RFU1K3004366,Aldermans Toyota,05701,Hatchback,"['vehicle_images_more\\e489357b-3213-4726-a133-4fbf1a695e6a_1.jpg', 'vehicle_images_more\\e489357b-3213-4726-a133-4fbf1a695e6a_2.jpg', 'vehicle_images_more\\e489357b-3213-4726-a133-4fbf1a695e6a_3.jpg']"
Toyota,RAV4,2015,15300,96398,Brown,Black,Gasoline,All-wheel Drive,2T3BFREV3FW306436,Lia Toyota of Wilbraham,01095,SUV,"['vehicle_images_more\\56695556-0cf6-42d5-925d-ce1e9ac3bc08_1.jpg', 'vehicle_images_more\\56695556-0cf6-42d5-925d-ce1e9ac3bc08_2.jpg', 'vehicle_images_more\\56695556-0cf6-42d5-925d-ce1e9ac3bc08_3.jpg']"
Toyota,Sienna,2019,21900,108305,Celestial Silver Metallic,Ash,Gasoline,Front-wheel Drive,5TDKZ3DC5KS005764,Hoffman Toyota,06092,Passenger Van,"['vehicle_images_more\\fbb8d0f5-2e8b-4f29-a762-0e405057114a_1.jpg', 'vehicle_images_more\\fbb8d0f5-2e8b-4f29-a762-0e405057114a_2.jpg', 'vehicle_images_more\\fbb8d0f5-2e8b-4f29-a762-0e405057114a_3.jpg']"
Toyota,Sienna,2015,15895,118716,Blue,Bisque,Gasoline,Front-wheel Drive,5TDYK3DC8FS597388,Central A/S LLC,06088,Passenger Van,"['vehicle_images_more\\0c6801b4-4582-4ac2-804f-131496798bad_1.jpg', 'vehicle_images_more\\0c6801b4-4582-4ac2-804f-131496798bad_2.jpg', 'vehicle_images_more\\0c6801b4-4582-4ac2-804f-131496798bad_3.jpg']"
Toyota,RAV4,2010,6995,172866,Black,Dark Charcoal,Gasoline,Four-wheel Drive,2T3RF4DV2AW035008,United Auto Wholesale,06088,SUV,"['vehicle_images_more\\d96b1a56-7943-4e1e-b95e-a15757575691_1.jpg', 'vehicle_images_more\\d96b1a56-7943-4e1e-b95e-a15757575691_2.jpg', 'vehicle_images_more\\d96b1a56-7943-4e1e-b95e-a15757575691_3.jpg']"
Toyota,Prius Prime,2017,15997,112799,Gray,Black,Gasoline,Front-wheel Drive,JTDKARFP4H3035939,Auto Care LLC,06066,Hatchback,"['vehicle_images_more\\4c822da5-5720-4be4-bc9e-1a8fb5d8f60f_1.jpg', 'vehicle_images_more\\4c822da5-5720-4be4-bc9e-1a8fb5d8f60f_2.jpg', 'vehicle_images_more\\4c822da5-5720-4be4-bc9e-1a8fb5d8f60f_3.jpg']"
Toyota,Corolla,2011,11495,122808,Black,Gray,Gasoline,Front-wheel Drive,2T1BU4EE6BC673277,Car Corner,06040,Sedan,"['vehicle_images_more\\b732fbb9-bc0b-4fbe-b5ab-76098f132511_1.jpg', 'vehicle_images_more\\b732fbb9-bc0b-4fbe-b5ab-76098f132511_2.jpg', 'vehicle_images_more\\b732fbb9-bc0b-4fbe-b5ab-76098f132511_3.jpg']"
Toyota,Camry,2015,9994,129921,Attitude Black,Ash,Gasoline,Front-wheel Drive,4T1BF1FK1FU040056,Blasius Pre-Owned Auto,06708,Sedan,"['vehicle_images_more\\858216df-b2cf-4b5b-8d3a-596a4ad1cfe6_1.jpg', 'vehicle_images_more\\858216df-b2cf-4b5b-8d3a-596a4ad1cfe6_2.jpg', 'vehicle_images_more\\858216df-b2cf-4b5b-8d3a-596a4ad1cfe6_3.jpg']"
Toyota,Sienna,2020,26495,96800,Predawn Gray Mica,Cement,Gasoline,All-wheel Drive,5TDDZ3DCXLS249453,A Better Way Wholesale,06770,Passenger Van,"['vehicle_images_more\\73320a11-af1d-411a-8e31-3e4d294a1d4d_1.jpg', 'vehicle_images_more\\73320a11-af1d-411a-8e31-3e4d294a1d4d_2.jpg', 'vehicle_images_more\\73320a11-af1d-411a-8e31-3e4d294a1d4d_3.jpg']"
Toyota,Camry,2015,11495,108500,Ruby Flare Pearl,Tan,Gasoline,Front-wheel Drive,4T1BF1FK8FU917383,A Better Way Wholesale,06770,Sedan,"['vehicle_images_more\\e9f45509-2426-46b8-b993-798a64c062c1_1.jpg', 'vehicle_images_more\\e9f45509-2426-46b8-b993-798a64c062c1_2.jpg', 'vehicle_images_more\\e9f45509-2426-46b8-b993-798a64c062c1_3.jpg']"
Toyota,Tacoma,2016,25995,107820,Barcelona Red Metallic,Graphite w/Gun Metal,Gasoline,Four-wheel Drive,3TMCZ5ANXGM032052,J & M Automotive,06770,Truck,"['vehicle_images_more\\77200300-4129-4925-b7ff-fd74d4c27c9c_1.jpg', 'vehicle_images_more\\77200300-4129-4925-b7ff-fd74d4c27c9c_2.jpg', 'vehicle_images_more\\77200300-4129-4925-b7ff-fd74d4c27c9c_3.jpg']"
